id,user_id,artifact_dataset_id,updated_at,answer
8083,134,2634,"2023-01-27 23:43:37",""[{\"label\":\"caa\",\"answer\":[{\"x\":218.2230628980714,\"y\":247.5033308385386},{\"x\":239.64352609968924,\"y\":235.45432028762855},{\"x\":268.76196826438854,\"y\":234.45023607505271},{\"x\":238.9741366246387,\"y\":180.8990780710081},{\"x\":134.54937851675166,\"y\":136.384677980146},{\"x\":258.72112613863015,\"y\":139.3969306178735}]}]""
7550,134,2636,"2023-01-27 23:34:22",""[{\"label\":\"cored\",\"answer\":[{\"x\":314.5,\"y\":373},{\"x\":183.5,\"y\":65},{\"x\":439.5,\"y\":256}]},{\"label\":\"caa\",\"answer\":[{\"x\":447.5,\"y\":169},{\"x\":469.5,\"y\":396},{\"x\":537.5,\"y\":398}]}]""
8564,134,2637,"2023-01-27 23:55:11",""[{\"label\":\"caa\",\"answer\":[{\"x\":328.5,\"y\":411}]},{\"label\":\"cored\",\"answer\":[{\"x\":448.5,\"y\":102},{\"x\":481.5,\"y\":234}]}]""
7970,134,2638,"2023-01-27 23:41:40",""[{\"label\":\"caa\",\"answer\":[{\"x\":142.5,\"y\":208},{\"x\":23.5,\"y\":154}]},{\"label\":\"cored\",\"answer\":[{\"x\":552.5,\"y\":410}]}]""
8557,134,2640,"2023-01-27 23:54:24",""[{\"label\":\"caa\",\"answer\":[{\"x\":99.5,\"y\":193},{\"x\":240.5,\"y\":122}]}]""
7455,134,2643,"2023-01-27 23:33:01",""[{\"label\":\"caa\",\"answer\":[{\"x\":533.5,\"y\":70},{\"x\":462.5,\"y\":131},{\"x\":395.5,\"y\":277},{\"x\":374.5,\"y\":281},{\"x\":428.5,\"y\":216}]}]""
7993,134,2644,"2023-01-27 23:42:13",""[{\"label\":\"cored\",\"answer\":[{\"x\":366.5,\"y\":317},{\"x\":180.5,\"y\":252},{\"x\":546.5,\"y\":315}]}]""
7300,134,2645,"2023-01-27 23:28:59",""[{\"label\":\"cored\",\"answer\":[{\"x\":514.5,\"y\":134}]},{\"label\":\"caa\",\"answer\":[{\"x\":376.99217586448634,\"y\":99.55748483965158}]}]""
7998,134,2648,"2023-01-27 23:42:33",""[{\"label\":\"cored\",\"answer\":[{\"x\":258.5,\"y\":142}]},{\"label\":\"caa\",\"answer\":[{\"x\":400.5,\"y\":291}]}]""
7496,134,2649,"2023-01-27 23:33:35",""[{\"label\":\"caa\",\"answer\":[{\"x\":238.5,\"y\":313},{\"x\":92.5,\"y\":200},{\"x\":51.5,\"y\":208}]},{\"label\":\"cored\",\"answer\":[{\"x\":177.5,\"y\":413}]}]""
8501,134,2650,"2023-01-27 23:50:37",""[{\"label\":\"cored\",\"answer\":[{\"x\":263.5,\"y\":143},{\"x\":543.5,\"y\":129}]}]""
8288,134,2653,"2023-01-27 23:47:38",""[{\"label\":\"cored\",\"answer\":[{\"x\":322.5,\"y\":290},{\"x\":281.5,\"y\":269},{\"x\":275.5,\"y\":135}]},{\"label\":\"caa\",\"answer\":[{\"x\":277.5,\"y\":199}]}]""
7833,134,2655,"2023-01-27 23:39:20",""[{\"label\":\"caa\",\"answer\":[{\"x\":116.5,\"y\":174},{\"x\":274.5,\"y\":231},{\"x\":286.5,\"y\":329},{\"x\":225.5,\"y\":409},{\"x\":143.5,\"y\":337}]},{\"label\":\"cored\",\"answer\":[{\"x\":541.5,\"y\":131}]}]""
7735,134,2659,"2023-01-27 23:37:59",""[{\"label\":\"cored\",\"answer\":[{\"x\":428.5,\"y\":352},{\"x\":543.5,\"y\":357}]}]""
8550,134,2660,"2023-01-27 23:53:28",""[{\"label\":\"caa\",\"answer\":[{\"x\":531.5,\"y\":154},{\"x\":458.5,\"y\":134},{\"x\":536.5,\"y\":266},{\"x\":540.5,\"y\":51}]}]""
7900,134,2661,"2023-01-27 23:40:51",""[{\"label\":\"caa\",\"answer\":[{\"x\":65.5,\"y\":91}]},{\"label\":\"cored\",\"answer\":[{\"x\":250.5,\"y\":384}]}]""
7428,134,2662,"2023-01-27 23:32:05",""[{\"label\":\"caa\",\"answer\":[{\"x\":390.5,\"y\":75},{\"x\":405.5,\"y\":9},{\"x\":91.81923186262259,\"y\":152.10054880590351}]},{\"label\":\"cored\",\"answer\":[{\"x\":96.87064445992584,\"y\":213.10607017333524}]}]""
7647,134,2663,"2023-01-27 23:36:30",""[{\"label\":\"caa\",\"answer\":[{\"x\":258.5,\"y\":347},{\"x\":405.5,\"y\":393},{\"x\":157.5,\"y\":194},{\"x\":237.5,\"y\":278},{\"x\":280.5,\"y\":309}]}]""
7875,134,2665,"2023-01-27 23:40:15",""[{\"label\":\"cored\",\"answer\":[{\"x\":160.5,\"y\":310},{\"x\":132.5,\"y\":361}]},{\"label\":\"caa\",\"answer\":[{\"x\":394.5,\"y\":313},{\"x\":77.5,\"y\":316}]}]""
8193,134,2666,"2023-01-27 23:45:57",""[{\"label\":\"cored\",\"answer\":[{\"x\":531.5,\"y\":198}]},{\"label\":\"caa\",\"answer\":[{\"x\":411.5,\"y\":95}]}]""
7601,134,2667,"2023-01-27 23:35:27",""[{\"label\":\"caa\",\"answer\":[{\"x\":318.1928573620709,\"y\":60.863042210633054}]}]""
7795,134,2668,"2023-01-27 23:38:50",""[{\"label\":\"cored\",\"answer\":[{\"x\":319.5,\"y\":77},{\"x\":335.5,\"y\":401},{\"x\":416.5,\"y\":354}]},{\"label\":\"caa\",\"answer\":[{\"x\":438.5,\"y\":244}]}]""
8097,134,2670,"2023-01-27 23:44:06",""[{\"label\":\"caa\",\"answer\":[{\"x\":256.5,\"y\":71},{\"x\":399.5,\"y\":282}]},{\"label\":\"cored\",\"answer\":[{\"x\":505.5,\"y\":89}]}]""
8248,134,2671,"2023-01-27 23:46:47",""[{\"label\":\"caa\",\"answer\":[{\"x\":443.5,\"y\":79},{\"x\":174.5,\"y\":48},{\"x\":13.5,\"y\":34}]},{\"label\":\"cored\",\"answer\":[{\"x\":329.5,\"y\":238}]}]""
7345,134,2673,"2023-01-27 23:30:37",""[{\"label\":\"caa\",\"answer\":[{\"x\":160.5,\"y\":43}]},{\"label\":\"cored\",\"answer\":[{\"x\":414.5981993835849,\"y\":221.22531979939646},{\"x\":376.9504310312614,\"y\":262.59138626059143},{\"x\":95.28934928424839,\"y\":191.94372219203373},{\"x\":139.44413932709696,\"y\":226.80276696270366}]}]""
